视频ID,帧序号,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面,身体平面与Y轴夹角_度_X轴为0向上为正_0到180,左髋X轴位移,右髋X轴位移,肩线中心X轴位移,左手X轴位移,肩线旋转减髋线旋转_度,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__合规,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__超下限,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__超上限,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__偏差,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__审判_0标准1轻微2异常,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__合规,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__超下限,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__超上限,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__偏差,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__审判_0标准1轻微2异常,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__合规,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__超下限,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__超上限,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__偏差,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__审判_0标准1轻微2异常,左髋X轴位移__合规,左髋X轴位移__超下限,左髋X轴位移__超上限,左髋X轴位移__偏差,左髋X轴位移__审判_0标准1轻微2异常,右髋X轴位移__合规,右髋X轴位移__超下限,右髋X轴位移__超上限,右髋X轴位移__偏差,右髋X轴位移__审判_0标准1轻微2异常,肩线中心X轴位移__合规,肩线中心X轴位移__超下限,肩线中心X轴位移__超上限,肩线中心X轴位移__偏差,肩线中心X轴位移__审判_0标准1轻微2异常,左手X轴位移__合规,左手X轴位移__超下限,左手X轴位移__超上限,左手X轴位移__偏差,左手X轴位移__审判_0标准1轻微2异常,肩线旋转减髋线旋转_度__合规,肩线旋转减髋线旋转_度__超下限,肩线旋转减髋线旋转_度__超上限,肩线旋转减髋线旋转_度__偏差,肩线旋转减髋线旋转_度__审判_0标准1轻微2异常,帧级加权偏差,帧级评分_0到100,异常指标数_帧级,轻微偏差指标数_帧级,帧级结论,帧级异常_连续过滤后,帧级结论_连续过滤后
1,166,5.5066780204374135,6.520525566296844,156.93496272230732,0.02127152681350708,0.001672506332397461,0.011724025011062622,-0.07203662395477295,-1.0138475458594307,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.02589815120429683,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0030468413181525683,99.69531586818474,0,1,优秀,0,优秀
1,167,5.910871573950546,6.13052185231078,156.44564379760368,0.020748168230056763,0.0021746158599853516,0.009826138615608215,-0.07205700874328613,-0.2196502783602341,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.020076282034536933,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0023619155334749335,99.7638084466525,0,1,优秀,0,优秀
1,168,6.177949065921888,6.048272196697072,156.13411936837977,0.020669102668762207,0.0022223591804504395,0.00905802845954895,-0.07214164733886719,0.12967686922481647,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.019196752457213716,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.002258441465554555,99.77415585344454,0,1,优秀,0,优秀
1,169,6.623252121375203,6.048758007264253,156.02327554844268,0.020682156085968018,0.002185612916946411,0.00882767140865326,-0.07218402624130249,0.5744941141109505,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.019341959375746537,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.002275524632440769,99.77244753675592,0,1,优秀,0,优秀
1,170,1.001756228940418,5.5542550712568515,157.5544983389428,0.020366787910461426,0.0027127861976623535,0.007095083594322205,-0.07266303896903992,-4.552498842316433,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.015833786745805233,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0018627984406829686,99.8137201559317,0,1,优秀,0,优秀
1,171,-6.693961877437936,4.276565662092865,160.1366456302235,0.01879340410232544,0.003938764333724976,0.0110463947057724,-0.07346722483634949,-10.970527539530801,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,172,-8.933521813007786,2.9831201882553975,159.51214634840233,0.015890806913375854,0.00541648268699646,0.013592243194580078,-0.07440868020057678,-11.916642001263185,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,173,-9.700388860854764,2.2236155489466016,159.03084763563265,0.014230281114578247,0.0066307783126831055,0.012951403856277466,-0.07504701614379883,-11.924004409801366,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,174,-9.860980490694738,1.5841067433801104,159.50217312875262,0.013266265392303467,0.007966578006744385,0.01303797960281372,-0.07549628615379333,-11.445087234074848,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,175,-11.828224859770579,1.586535539595877,163.31864668721659,0.01323634386062622,0.00840422511100769,0.013060331344604492,-0.07562610507011414,-13.414760399366456,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,176,-9.144766417910533,1.5241540369156603,163.40261870733582,0.013317614793777466,0.008249849081039429,0.01203608512878418,-0.0755358338356018,-10.668920454826194,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,177,-9.062000486804425,1.5914122422485586,162.8516423720702,0.01371946930885315,0.008384883403778076,0.013043642044067383,-0.07555869221687317,-10.653412729052985,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,178,-7.715023409831992,1.6396558427927075,161.52255944816844,0.013835310935974121,0.008221834897994995,0.012484580278396606,-0.07554766535758972,-9.354679252624699,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,179,-7.458785773726428,1.6390405872654266,160.8652849194365,0.014032304286956787,0.008361011743545532,0.012469559907913208,-0.07595488429069519,-9.097826360991855,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,180,-5.64572604112959,1.761351108793323,161.17915518114643,0.014348238706588745,0.008285164833068848,0.008628323674201965,-0.07515573501586914,-7.407077149922913,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,181,-5.971683819866549,1.7471374941724678,163.6200158811529,0.014271050691604614,0.008280307054519653,0.008350953459739685,-0.07515323162078857,-7.718821314039017,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,182,-3.6233068825127557,1.7746226417889666,164.538499905353,0.014339447021484375,0.008234590291976929,0.0037696659564971924,-0.07475593686103821,-5.3979295243017225,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,183,1.5996698840818886,2.134147646023835,161.76046415919703,0.015260696411132812,0.007890552282333374,0.009905114769935608,-0.0735200047492981,-0.5344777619419463,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,184,2.309879963275913,2.3820101688373754,161.55217616210612,0.015954911708831787,0.007721066474914551,0.013050183653831482,-0.0715230405330658,-0.07213020556146255,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,185,6.592664412268674,2.95674045335591,163.8087964501286,0.01702481508255005,0.007115364074707031,0.011435240507125854,-0.07025855779647827,3.6359239589127643,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,186,4.128040719982975,2.810175839480862,163.7296392342734,0.017011165618896484,0.0075299739837646484,0.011553347110748291,-0.0697377622127533,1.3178648805021131,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,187,7.439503828975643,3.1871718098261117,166.3383421957024,0.017495274543762207,0.007555931806564331,0.010297015309333801,-0.06869667768478394,4.252332019149531,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,188,6.134740304890085,2.956449809396847,165.89774482396479,0.017292946577072144,0.007962733507156372,0.008649587631225586,-0.06689929962158203,3.1782904954932376,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
1,189,5.456099275625065,2.2822302014145928,165.26205340135934,0.016298949718475342,0.008908778429031372,0.0077793896198272705,-0.0639161765575409,3.1738690742104723,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0,100.0,0,0,优秀,0,优秀
